product_id,product_name,brand_name,rating,price_usd,ingredients,has_fragrance,has_alcohol,has_paraben,has_sulfate,has_essential_oil,has_retinol,has_formaldehyde,has_phthalate,has_mineral_oil,has_silicone,secondary_category,total_reviews,recommend_pct
P107306,Renewing Eye Cream,Murad,4.031620553359684,89.0,"['water, butylene glycol, tricaprylyl citrate, pentylene glycol, bis-diglyceryl polyacyladipate-2, jojoba esters, glycerin, boron nitride, caprylic/capric/myristic/stearic triglyceride, cetyl alcohol, stearic acid, glyceryl stearate, peg-100 stearate, citrus unshiu peel extract, mangifera indica (mango) seed butter, dimethicone, cetyl phosphate, urea, yeast amino acids, trehalose, inositol, taurine, betaine, glycine soja (soybean) seed extract, iris florentina root extract, dioscorea villosa (wild yam) root extract, glycine soja (soybean) sterols, trifolium pratense (clover) flower extract, palmitoyl oligopeptide, palmitoyl tetrapeptide-7, retinol, sodium hyaluronate, serenoa serrulata fruit extract, oenothera biennis (evening primrose) oil, tocopherol, ascorbyl palmitate, borago officinalis seed oil, dipeptide-2, hesperidin methyl chalcone, caprylic/capric triglyceride, sodium pca, panthenol, oleyl alcohol, steareth-20, lecithin, carbomer, polysorbate 20, sodium potassium aluminum silicate, aminomethyl propanol, disodium edta, silica, phenoxyethanol, caprylyl glycol, chlorphenesin, titanium dioxide (ci 77891).']",0,1,0,0,0,1,0,0,0,1,Eye Care,253,0.22134387351778656
P114902,Goodbye Acne  Max Complexion Correction Pads,Peter Thomas Roth,4.4198822759973835,48.0,"['salicylic acid 2%, alcohol denat., water/aqua/eau, butylene glycol, glycolic acid, hamamelis virginiana (witch hazel) water, aloe barbadensis leaf juice, arginine, sodium hydroxide, chamomilla recutita (matricaria) flower extract, fragrance/parfum, prunus persica (peach) fruit extract, camellia sinensis leaf extract, phenoxyethanol, symphytum officinale leaf extract, allantoin, triethanolamine, amyl cinnamal, linalool, limonene, benzoic acid, geraniol, butylphenyl methylpropional, citronellol, citric acid, potassium sorbate, sodium benzoate, benzyl alcohol, citral, benzyl benzoate.']",1,1,0,0,0,0,0,0,0,0,Treatments,1529,0.21255722694571616
P12045,Grape Water Moisturizing Face Mist,Caudalie,4.444180522565321,12.0,"['vitis vinifera (grape) fruit water*, vitis vinifera (grape) juice*, nitrogen.']",0,0,0,0,0,0,0,0,0,0,Moisturizers,1684,0.5231591448931117
P122651,Clarifying Lotion 1,CLINIQUE,4.515,20.0,"['water\\aqua\\eau, alcohol denat., glycerin, butylene glycol, hamamelis virginiana (witch hazel), trehalose, salicylic acid, acetyl glucosamine, sodium hyaluronate, sodium hydroxide, tetrahydroxypropyl ethylenediamine, disodium edta, phenoxyethanol, benzophenone-4, yellow 5 (ci 19140), blue 1 (ci 42090).']",0,1,0,0,0,0,0,0,0,0,Cleansers,200,0.165
P122661,7 Day Face Scrub Cream Rinse-Off Formula,CLINIQUE,4.52625,26.0,"['water, tridecyl stearate, tridecyl trimellitate, dipentaerythrityl hexacaprylate/hexacaprate, butylene glycol, glyceryl stearate, cocos nucifera (coconut) oil, caprylic/capric triglyceride, silica, cetearyl alcohol, ceteareth-20, sorbitol, hexyldecyl stearate, bisabolol, disodium cocoamphodipropionate, triethanolamine, oleth-10 phosphate, caprylyl glycol, 1,2-hexanediol, stearyl alcohol, carbomer, disodium edta, phenoxyethanol, potassium sorbate, chlorphenesin <iln41757>.']",0,1,0,0,0,0,0,0,0,0,Cleansers,800,0.08875
P122718,Exfoliating Face Scrub,CLINIQUE,4.610738255033557,26.0,"['water\\aqua\\eau, glyceryl stearate, silica, hexylene glycol, disodium cocoamphodiacetate, disodium oleamido mipa-sulfosuccinate, magnesium aluminum silicate, salicylic acid, stearamidoethyl diethylamine, oleamide mipa, trisodium sulfosuccinate, sodium sulfate, phenoxyethanol, methylisothiazolinone, titanium dioxide (ci 77891) &lt;iln46335&gt;']",0,0,0,1,0,0,0,0,0,0,Cleansers,1192,0.174496644295302
P122727,Repairwear Anti-Gravity Eye Cream,CLINIQUE,4.170212765957447,54.0,"['water, butyrospermum parkii (shea butter), cetearyl alcohol, butylene glycol, hydrogenated polyisobutene, phenyl trimethicone, polyglyceryl-3 beeswax, polybutene, sucrose, polymethyl methacrylate, cetyl esters, isostearyl neopentanoate, glycerin, cetearyl glucoside, whey protein/lactis protein/proteine du petit-lait, sigesbeckia orientalis (st. paul wort) extract, camellia sinensis (green tea) leaf extract, hordeum vulgare (barley) extract/extrait d’orge, triticum vulgare (wheat) germ extract, chlorella vulgaris extract, yeast extract/faex/extrait de levure, linoleic acid, cholesterol, caffeine, palmitoyl oligopeptide, squalane, phytosphingosine, sodium hyaluronate, dimethicone, caprylyl glycol, peg-8, methyl glucose sesquistearate, polysilicone-11, glyceryl polymethacrylate, peg-100 stearate, tocopheryl acetate, stearic acid, 1,2-hexanediol, acrylates/c10-30 alkyl acrylate crosspolymer, sodium dehydroacetate, tetrahexyldecyl ascorbate, aminomethyl propanol, potassium sulfate, phenoxyethanol, disodium edta, titanium dioxide (ci 77891), mica <iln41031>.']",0,1,0,1,0,0,0,0,0,1,Eye Care,282,0.11347517730496454
P122762,Rinse-Off Foaming Cleanser,CLINIQUE,4.4933008526187574,23.5,"['water/aqua/eau, potassium myristate, glycerin, potassium behenate, sodium methyl cocoyl taurate, potassium palmitate, potassium laurate, potassium sterate, peg-3 distearate, cholesteryl hydroxystearate, butylene glycol, sodium hyaluronate, trisodium edta, disodium edta, phenoxyethanol, ext. violet 2 (ci 60730), red 4 (ci 14700).']",0,0,0,0,0,0,0,0,0,0,Cleansers,821,0.12302070645554203
P122767,All About Lips,CLINIQUE,4.017751479289941,28.0,"['water, dimethicone, ethylene/acrylic acid copolymer, polysilicone-11, phenyl trimethicone, caprylyl methicone, neopentyl glycol diisostearate, camellia sinensis (green tea) leaf extract, butylene glycol, microcrystalline wax/cera microcristallina/cire microcristalline, cetyl peg/ppg-10/1 dimethicone, tocopheryl acetate, salicylic acid, centella asiatica (hydrocotyl) extract, cola nitida (kola) nut extract, olea europaea (olive) fruit extract, calluna vulgaris (heather) extract, triticum vulgare (wheat) bran extract, sodium hyaluronate, glycyrrhizic acid, phospholipids, cholesterol, neopentyl glycol diethylhexanoate, arginine, peg-6, peg-32, polymethyl methacrylate, sucrose, lauryl peg/ppg-18/18 methicone, isostearyl alcohol, dodecene, zeolite, sodium chloride, caprylyl glycol, hexylene glycol, potassium sorbate, phenoxyethanol <iln40726>.']",0,1,0,0,0,0,0,0,0,1,Lip Balms & Treatments,169,0.04142011834319527
P122774,All About Eyes Eye Cream,CLINIQUE,4.07217125382263,37.0,"['cyclopentasiloxane, water, isostearyl palmitate, polyethylene, butylene glycol, polysilicone-11, ethylene/acrylic acid copolymer, morus bombycis (mulberry) root extract, caffeine, phytosphingosine, triticum vulgare (wheat) bran extract, scutellaria baicalensis root extract, whey protein/lactis protein/proteine du petit-lait, olea europaea (olive) fruit extract, camellia sinensis (green tea) leaf extract, cholesterol, linoleic acid, tocopheryl acetate, magnesium ascorbyl phosphate, pyridoxine dipalmitate, sucrose, glycerin, dimethicone, glyceryl laurate, peg/ppg-18/18 dimethicone, petrolatum, cetyl peg/ppg-10/1 dimethicone, propylene carbonate, sodium chloride, quaternium-90 bentonite, disodium edta, phenoxyethanol, iron oxides (ci 77491, ci 77492, ci 77499) <iln41964>.']",0,0,0,0,0,0,0,0,1,1,Eye Care,1635,0.0837920489296636
P122782,Repairwear Intensive Lip Treatment,CLINIQUE,4.296296296296297,31.5,"['octyldodecanol, pentaerythrityl adipate/ caprate/ caprylate/ heptanoate, petrolatum, bis-diglyceryl polyacyladipate-2, polyethylene, hydrogenated dilinoleyl alcohol, stearoxy dimethicone, silica, polybutene, microcrystalline wax\\cera microcristallina\\cire microcristalline, water\\aqua\\eau, triticum vulgare (wheat) germ extract, polygonum cuspidatum root extract, theobroma grandiflorum seed butter, coffea arabica (coffee) seed extract, rosmarinus officinalis (rosemary) leaf extract, tocopheryl acetate, coffea robusta seed extract, betula alba (birch) extract, astrocaryum murumuru seed butter, hordeum vulgare (barley) extract\\extrait d’orge, butyrospermum parkii (shea butter), glycerin, poria cocos sclerotium extract, linolenic acid, sodium dna, saccharomyces lysate extract, linoleic acid, cholesterol, sodium rna, ascorbyl tocopheryl maleate, methyl glucose sesquistearate, lauryl pca, c20-40 pareth-10, squalane, ethylhexylglycerin, polyglyceryl-4 isostearate, hexyl laurate, cetyl peg/ppg-10/1 dimethicone, allyl methacrylates crosspolymer, propylene glycol dicaprate, nordihydroguaiaretic acid, glycine soja (soybean) protein, phytosphingosine, oleic acid, acetyl carnitine hcl, caprylic/capric triglyceride, triethoxycaprylylsilane, ethylhexyl stearate, lecithin, hydrogenated lecithin, hexylene glycol, ethylhexyl palmitate, potassium sulfate, hydroxyethylcellulose, ethylcellulose, bht, phenoxyethanol, [+/- mica, red 7 lake (ci 15850), yellow 5 lake (ci 19140), red 22 lake (ci 45380), titanium dioxide (ci 77891), iron oxides (ci 77491, ci 77492, ci 77499), red 6 (ci 15850), red 30 lake (ci 73360), carmine (ci 75470), red 33 lake (ci 17200), red 28 lake (ci 45410), blue 1 lake (ci 42090), yellow 6 lake (ci 15985)].']",0,1,0,1,0,0,0,0,1,1,Lip Balms & Treatments,270,0.16666666666666666
P122876,Clarifying Lotion 4,CLINIQUE,4.397321428571429,20.0,"['water\\aqua\\eau, alcohol denat., salicylic acid, hamamelis virginiana (witch hazel), butylene glycol, glycerin, trehalose, sodium hyaluronate, sodium hydroxide, disodium edta-copper, bht, phenoxyethanol, benzophenone-4, green 5 (ci 61570).']",0,1,0,0,0,0,0,0,0,0,Cleansers,224,0.09821428571428571
P122881,Clarifying Lotion 3,CLINIQUE,4.323497267759563,20.0,"['water\\aqua\\eau, alcohol denat., salicylic acid, hamamelis virginiana (witch hazel), butylene glycol, glycerin, trehalose, sodium hyaluronate, citric acid, sodium hydroxide, disodium edta, bht, phenoxyethanol, benzophenone-4, ext. violet 2 (ci 60730), red 6 (ci 15850), orange 4 (ci 15510).']",0,1,0,0,0,0,0,0,0,0,Cleansers,915,0.16721311475409836
P122882,Clarifying Lotion 2,CLINIQUE,4.37956204379562,20.0,"['water\\aqua\\eau, alcohol denat., glycerin, hamamelis virginiana (witch hazel) extract, acetyl glucosamine, trehalose, sodium hyaluronate, butylene glycol, sodium bicarbonate, red 6 (ci 15850), red 33 (ci 17200), ext. violet 2 (ci 60730).']",0,1,0,0,0,0,0,0,0,0,Cleansers,1370,0.16277372262773723
P122900,Dramatically Different Moisturizing Gel,CLINIQUE,4.437342727730247,32.5,"['water, dimethicone, isododecane, butylene glycol, bis-peg-18 methyl ether dimethyl silane, glycerin, laminaria saccharina extract, polygonum cuspidatum root extract, saccharomyces lysate extract, cucumis sativus (cucumber) fruit extract, hordeum vulgare (barley) extract/extrait d’orge, helianthus annuus (sunflower) seedcake, caffeine, trehalose, sodium hyaluronate, tocopheryl acetate, chamomilla recutita (matricaria), polysilicone-11, silica, propylene glycol dicaprate, oleth-10, lactobacillus ferment, laureth-23, laureth-4, ammonium acryloyldimethyltaurate/vp copolymer, carbomer, caprylyl glycol, hexylene glycol, tromethamine, disodium edta, phenoxyethanol, potassium sorbate, yellow 5 (ci 19140), red 4 (ci 14700), yellow 6 (ci 15985) lotion.']",0,0,0,0,0,0,0,0,0,1,Moisturizers,3974,0.20608958228485152
P12295,Sugar Face Polish Exfoliator,fresh,4.519176800748363,64.0,"['sucrose, propylene glycol dicaprylate/dicaprate, peg-7 glyceryl cocoate, stearalkonium hectorite, fragaria vesca (strawberry) fruit extract, euphorbia cerifera (candelilla) wax, mangifera indica (mango) seed butter, propylene carbonate, parfum (fragrance), limonene, limnanthes alba (meadowfoam) seed oil, vitis vinifera (grape) seed oil, prunus domestica seed oil, fructose, glucose, tocopheryl acetate, caramel, glycerin, aqua (water), potassium sorbate, bht, citral.']",1,0,0,0,0,0,0,0,0,0,Cleansers,1069,0.2890551917680075
